id,max_passengers,state,distance,speed,passenger_served,current_passengers,arrive_times,embark_times
0,20,1,1,0.0025,301,4432|4434,2639|15239|25352|28153|30954|33213|34894|36575|38256|50424|61286|65937|68738|71539|72779|73713|74647,1799|14399|22552|25353|28154|30955|33214|34895|36576|49374|58486|63137|65938|68739|71540|72780|73714
1,20,3,0.7425,0.0025,302,4421|4422|4423|4424|4425|4426|4429,2639|17039|25375|28176|30977|33226|34907|36588|40752|47042|64369|67170|69971|72257|73191|74125|76086,1799|16199|22575|25376|28177|30978|33227|34908|39072|45992|61569|64370|67171|69972|72258|73192|75153|85708
2,20,1,1,0.0025,291,,4439|17039|25673|28474|31275|33405|35086|36767|38798|52224|63086|66220|69021|71822|72874|73808|74742,3599|16199|22873|25674|28475|31276|33406|35087|37118|51174|60286|63420|66221|69022|71823|72875|73809
3,20,0,0,0.0025,288,4430|4431|4433,4439|18839|25655|28456|31257|33394|35075|36756|41566|48842|64612|67413|70214|72338|73272|74206|77886,3599|17999|22855|25656|28457|31258|33395|35076|39886|47792|61812|64613|67414|70215|72339|73273|76953
4,20,1,1,0.0025,295,,6239|18839|25956|28757|31558|33575|35256|36937|39778|54024|64190|66991|69792|72197|73131|74065|75841,5399|17999|23156|25957|28758|31559|33576|35257|38098|52974|61390|64191|66992|69793|72198|73132|74908
5,20,0,0,0.0025,292,,6239|20639|25900|28701|31502|33541|35222|36903|42702|50642|64841|67642|70443|72414|73348|74282|79686,5399|19799|23100|25901|28702|31503|33542|35223|41022|49592|62041|64842|67643|70444|72415|73349|78753
6,20,1,1,0.0025,291,,8039|20639|26181|28982|31783|33710|35391|37072|40774|55824|64413|67214|70015|72272|73206|74140|77641,7199|19799|23381|26182|28983|31784|33711|35392|39094|54774|61613|64414|67215|70016|72273|73207|76708
7,20,0,0,0.0025,284,,8039|24396|27197|29998|32639|34320|36001|37682|43916|52442|65056|67857|70658|72486|73420|74354|81486,7199|21599|24397|27198|29999|32640|34321|36002|42666|51392|62256|65057|67858|70659|72487|73421|80553
8,20,1,1,0.0025,284,,9839|24396|27197|29998|32639|34320|36001|37682|42006|57664|64669|67470|70271|72357|73291|74225|79441,8999|21599|24397|27198|29999|32640|34321|36002|40326|56574|61869|64670|67471|70272|72358|73292|78508
9,20,0,0,0.0025,300,,9839|24629|27430|30231|32779|34460|36141|37822|45418|54242|65291|68092|70893|72564|73498|74432|83286,8999|21829|24630|27431|30232|32780|34461|36142|44368|53192|62491|65292|68093|70894|72565|73499|82353
10,20,1,1,0.0025,301,,11639|24757|27558|30359|32856|34537|36218|37899|42951|61174|64938|67739|70540|72447|73381|74315|81241,10799|21957|24758|27559|30360|32857|34538|36219|41271|58374|62138|64939|67740|70541|72448|73382|80308
11,20,0,0,0.0025,306,,11639|24914|27715|30516|32950|34631|36312|37993|47218|55936|65495|68296|71097|72632|73566|74500|85086,10799|22114|24915|27716|30517|32951|34632|36313|46168|54886|62695|65496|68297|71098|72633|73567|84153
12,20,1,1,0.0025,301,,13439|25014|27815|30616|33010|34691|36372|38515|43866|62974|65775|68576|71377|72726|73660|74594|83041,12599|22214|25015|27816|30617|33011|34692|36835|42586|60174|62975|65776|68577|71378|72727|73661|82108
13,20,2,0.52,0.0025,286,4427|4428,13439|25121|27922|30723|33074|34755|36436|38117|49018|57962|65660|68461|71262|72687|73621|74555,12599|22321|25122|27923|30724|33075|34756|36437|47968|56686|62860|65661|68462|71263|72688|73622|85953
14,20,1,1,0.0025,313,,15239|25156|27957|30758|33095|34776|36457|39739|45242|64160|66961|69762|72187|73121|74055|74989|84841,14399|22356|25157|27958|30759|33096|34777|38059|44192|61360|64161|66962|69763|72188|73122|74056|83908
