time,terminal_index,active_jeep,jeeps_in_terminal,passenger_queue
86401,0,1,3|5|7|9|11|13|15|17,
86401,1,19,0|2|4|6|8|10|12|14|16|18,

Route Jeeps En Route:

Route Traffic Coefficients:
0.9,0.9
