time,terminal_index,active_jeep,jeeps_in_terminal,passenger_queue
86401,0,6,8|10|12|14|1|3|5|7|9|11,
86401,1,13,0|2|4,

Route Jeeps En Route:

Route Traffic Coefficients:
0.9,0.9
